STT,Tên bài hát,Tác giả,Thể loại
53,Bài ca kỷ niệm,Tú Nhi|Bằng Giang,Tú Nhi|Bằng Giang|Bolero
54,Đêm buồn tỉnh lẻ (Tỉnh lẻ đêm buồn),Bằng Giang|Tú Nhi,Bolero|Tú Nhi|Bằng Giang
55,Người lạ thoáng qua,Đinh Tùng Huy,Đinh Tùng Huy|Ballad
56,Phút cuối,Lam Phương,Bolero|Lam Phương
57,Sao không thấy anh về (Thương về miền trung 2),Duy Khánh,Duy Khánh|Bolero
58,Xua đi huyền thoại,Thái Hoàng,Bolero|Thái Hoàng
59,Gõ cửa trái tim,Vinh Sử,Bolero
60,Anh về với em,Trần Thiện Thanh,Trần Thiện Thanh|Bolero
61,Cause I Love You,Đỗ Hiếu,Nhạc trẻ
62,Khóc thầm,Lam Phương,Bolero|Lam Phương
63,Giọt buồn không tên,Anh Bằng,
64,Ngõ hồn qua đêm,Hàn Châu|Triết Giang,Hàn Châu|Triết Giang|Bolero
65,Gió,Lắng|N2L,Ballad|N2L|pop|Lắng
66,Tình bơ vơ,Lam Phương,Bolero|Lam Phương
67,Chiều Tây Đô,Lam Phương,Lam Phương|Bolero
68,Mưa Đêm Ngoại Ô,Đỗ Kim Bảng,
69,Sầu lẻ bóng 2,Anh Bằng,
70,Đêm tiền đồn,Lam Phương,Lam Phương|Bolero
71,Cô hàng xóm,Anh Bằng,
72,Thương về miền Trung,Duy Khánh|Châu Kỳ,Bolero|Duy Khánh|Châu Kỳ
73,Những đóm mắt hỏa châu,Hàn Châu,Hàn Châu|Bolero
74,Một khúc tâm tình người Hà Tĩnh,Nguyễn Văn Tý,
75,Dĩ vãng nhạt nhòa,Khúc Lan,
76,Ngày mai tôi về,Hàn Châu,Bolero|Hàn Châu
77,Chuyến đi về sáng,Trần Thiện Thanh|Mạnh Phát,Bolero|Trần Thiện Thanh|Mạnh Phát
78,Hà Tĩnh quê ơi,Ngô Sỹ Ngọc,Nhạc trữ tình
79,Thao thức vì em,Đăng Minh,Ca cổ
80,Đừng lo nhé có anh đây,Thiên Tú,Thiên Tú|Ballad
81,Tuyết lạnh,Anh Bằng,
82,Chuyện ba mùa mưa,Anh Bằng,
83,Hồi tưởng,Anh Bằng,
84,Làm dâu xứ lạ,Vinh Sử,
85,Vu Lan Nhớ Mẹ,Hoàng Duy|Hoàng Mỹ,
86,Cát bụi cuộc đời,Đăng Minh,Ca cổ
87,Là Tại Anh Sai,La Hoàng Qúy,Nhạc trẻ
88,Mưa trên phố Huế,Anh Bằng,
89,Nhớ người yêu ( Ck3 – Lại nhớ người yêu),Giao Tiên,Bolero
90,Điệu buồn chia xa,Duy Khánh,Duy Khánh|Bolero
91,Đoạn tái bút,Bằng Giang|Tú Nhi,Bằng Giang|Bolero|Tú Nhi
92,Em là tất cả (Thao thức vì em),Lam Phương,Lam Phương|Bolero
93,Xa người mình yêu,Vinh Sử,
94,10 Ngàn Năm,TaynguyenSound,TaynguyenSound|Nhạc trẻ
95,Chuyện hoa sim,Anh Bằng,
96,Người thay thế em,Jin Tuấn Nam,Jin Tuấn Nam|pop
97,Trả lại,Anh Bằng,
98,Hoa Cưới,Đạt Long Vinh,Nhạc trẻ
99,Lí Do Là Gì,Nguyễn Vĩ,Nhạc trẻ
100,Mùa đông của anh,Trần Thiện Thanh,Bolero|Trần Thiện Thanh
101,Không giờ rồi,Vinh Sử,
102,Người tình không đến,Đăng Minh,Ca cổ
103,Người tình mùa đông,Anh Bằng,
104,Tìm em câu ví sông Lam,Ngô Sỹ Ngọc,Nhạc trữ tình
105,Giọt lệ sầu,Lam Phương,Lam Phương|Bolero
106,Tôi vẫn nhớ,Ngân Giang,Ngân Giang|Nhạc trữ tình
107,Khi Nhân Duyên Chưa Định,Anh Thi,Nhạc Trẻ
108,Vó ngựa trên đồi cỏ non,Giao Tiên,
109,Tình nhạt phai,Khúc Lan,
110,Người phu kéo mo cau,Vinh Sử,
111,Luật Đời,Hoàng Văn Minh,Nhạc Trữ tình
112,Tình nồng,Khúc Lan,
113,Người em xóm đạo (1970),Bằng Giang,
114,Người tình không đến,Ngân Giang,Ngân Giang|Nhạc trữ tình
115,Đừng nói yêu tôi,Anh Bằng,
116,Chút kỷ niệm buồn,Tô Thanh Sơn,
117,Chiếc lá mùa đông,Khúc Lan,
118,Nhẫn cỏ cho em,Vinh Sử,
119,Lối về đất mẹ,Duy Khánh,Bolero|Duy Khánh
120,Đường về quê hương,Lam Phương,Bolero|Lam Phương
121,Khi không,Vinh Sử,
122,Thành phố sau lưng (Hãy luôn vững tin),Hàn Châu,Hàn Châu|Bolero
123,Lâu đài tình ái,Trần Thiện Thanh|Mai Trung Tĩnh,Bolero|Mai Trung Tĩnh|Trần Thiện Thanh
124,Hàn mặc tử,Trần Thiện Thanh,Bolero|Trần Thiện Thanh
125,Tàu Về Quê Hương,Lý Bông Dừa,Ca cổ
126,Em tuổi 15 ( Tuổi nàng 15),Hoàng Phương,Bolero
127,Chờ đông,Ngân Giang,Nhạc trữ tình|Ngân Giang
128,Tình đẹp mùa chôm chôm,Giao Tiên,
129,Người thương kẻ nhớ,Vinh Sử,Bolero
130,Mùa xuân lá khô,Trần Thiện Thanh,Bolero|Trần Thiện Thanh
131,Đừng như thói quen,Dương Khắc Linh,Pop
132,Cưới Thôi,Masew,Masew|pop
133,Tình Anh,Đình Dũng,Ballad|Đình Dũng
134,Linh hồn tượng đá,Anh Bằng,
135,Phượng buồn,Tuấn Hải,
136,Vết Thù Trên Lưng Ngựa Hoang,Ngọc Chánh,Bolero
137,Người tình mùa đông,Anh Bằng,
138,Từng yêu,Đình Dũng,Ballad|Đình Dũng
139,Tình nào trong mắt em (Đôi mắt người xưa),Ngân Giang,Nhạc trữ tình|Ngân Giang
140,Giã từ,Nhật Thu,Nhật Thu|Nhạc trữ tình
141,Tình lỡ,Đăng Minh,Ca cổ
142,Chỉ Muốn Bên Em Thật Gần,Nguyễn Minh Phúc,Nguyễn Minh Phúc
143,Lối Tàn Hoa,Jin Tuấn Nam,Pop
144,Thu sầu,Lam Phương,Bolero|Lam Phương
145,Xót xa,Lam Phương,Bolero|Lam Phương
146,Tình Ngăn Đôi Bờ,Lý Bông Dừa,Ca cổ
147,Xin Em Đừng Khóc Vu Quy,Đinh Miên Vũ|Linh Phương,Nhạc Trữ Tình
148,Biết trả lời sao,Duy Khánh,Bolero|Duy Khánh
149,Em về kẻo mưa (Em về kẻo trời mưa),Ngân Giang,Nhạc trữ tình|Ngân Giang
150,Hoa sứ nhà nàng 2,Hoàng Phương,Bolero
151,Người đi xây hồ Kẻ Gỗ,Nguyễn Văn Tý,
152,Em say rồi,Nguyễn Văn Chung,Ballad|Nguyễn Văn Chung
153,Tình đơn phương,Minh Tâm,Minh Tâm|Nhạc trữ tình|Hoàng Tuấn
154,Áo cưới màu hoa cà,Hùng Linh,
155,Mãi Mãi Bên Nhau,Đỗ Hiếu,Nhạc trẻ
156,Mộng Tàn Hoa,Thiên Tú,Ballad|Thiên Tú|pop
157,Gánh mẹ,Quách Beem,Ballad
158,Mẹ yêu,Trúc Hồ,Nhạc trữ tình|Trúc Hồ
159,Hai thước đất,Phạm Hưng,Bolero|Phạm Hưng
160,Má Em Chê Anh Nghèo,BÌN,Pop
161,Huế đã xa rồi,Anh Bằng,Bolero
162,Sầu lẻ bóng,Đăng Minh,Ca cổ
163,Chờ người,Lam Phương,Lam Phương|Bolero
164,Hỏi Lòng Liệu Có Bình Yên,Đông Thiên Đức,pop|Đông Thiên Đức|Ballad
165,Đường tình đôi ngã,Ngân Giang,Ngân Giang|Nhạc trữ tình
166,Biển dâu,Anh Bằng,
167,Xin thời gian qua mau (Buồn nào hơn đêm nay),Lam Phương,Lam Phương|Bolero
168,Chuyện hẹn hò,Trần Thiện Thanh,Trần Thiện Thanh|Bolero
169,Nam mô A Di Đà Phật,Vinh Sử,Bolero
170,Nhớ người yêu,Giao Tiên,
171,Hồng trần cõi tạm,Danh Mã Phi Hùng,Nhạc Phật
172,Xin Hãy Rời Xa,Vũ Tuấn Đức,Nhạc trữ tình|Vũ Tuấn Đức
173,Đêm bơ vơ,Duy Khánh,Duy Khánh|Bolero
174,Chiếc áo bà ba,Trần Thiện Thanh,Trần Thiện Thanh|Bolero
175,Cỏ úa,Lam Phương,Bolero|Lam Phương
176,Anh biết em đi chẳng trở về,Anh Bằng,
177,Hương tóc mạ non,Minh Thùy,Ca cổ
178,Nếu hai đứa mình,Anh Bằng,
179,Ngày xưa anh nói,Thanh Tuyền,Nhạc trữ tình
180,Dáng đứng Bến Tre,Nguyễn Văn Tý,
181,Ngàn năm tình vẫn đẹp,Ngân Giang,Ngân Giang|Nhạc trữ tình
182,Vì lỡ thương nhau,Lý Bông Dừa,Ca cổ
183,Đoạn Tuyệt,Lý Bông Dừa,Ca cổ
184,Nếu anh đừng hẹn,Anh Bằng,
185,Neo đậu bến quê,An Thuyên,Dân ca
186,Đèn khuya,Lam Phương,Bolero|Lam Phương
187,Đính ước,Giao Tiên,
188,Khúc Thụy Du,Anh Bằng,Bolero
189,Tình lỡ,Diệp Vàm Cỏ,Ca cổ
190,Đẹp lòng người yêu,Tuấn Hải|Ngọc Sơn,
191,Qua ngõ nhà em,Vinh Sử,
192,Tình đầu tình cuối,Trần Thiện Thanh,Trần Thiện Thanh|Bolero
193,Tình là sợi tơ,Anh Bằng,
194,Bản tình cuối,Giao Tiên|Hương Vũ,Nhạc trữ tình
195,Biển mặn,Trần Thiện Thanh,Bolero
196,Em Ơi Anh Sợ (Sợ Đánh Mất Em),Jin Tuấn Nam,Pop
197,Đám cưới đầu xuân,Trần Thiện Thanh,Bolero|Trần Thiện Thanh
198,Con Đò Lỡ Hẹn,Lý Bông Dừa,Ca cổ
199,Lẻ bóng,Anh Bằng,
200,Huế xưa,Anh Bằng,
201,Hạnh phúc lang thang,Anh Bằng,Bolero
202,Người về đơn vị mới,Bằng Giang,
203,Chờ Đông,Diệp Vàm Cỏ,Ca cổ
204,Chuyện tình Lan và Điệp,Anh Bằng,
205,Cỏ úa,Lam Phương,Lam Phương|Bolero
206,Hỡi người tình,Khúc Lan,
207,Mưa bụi,Vinh Sử,
208,Rồi ngày mai xa nhau,Thanh Triết,Bolero|Thanh Triết
209,Tình Nghèo Có Nhau,Lý Bông Dừa,Ca cổ
210,Ai Khổ Vì Ai,Anh Bằng,
211,Đêm buồn phố thị,Ngọc Sơn,Bolero|Ngọc Sơn
212,Thơ tình của núi,An Thuyên,Nhạc cách mạng
213,Xuân này con không về,Trịnh Lâm Ngân,
214,Đừng hẹn kiếp sau,Đình Dũng,Đình Dũng|Ballad
215,Kỷ niệm chiều mưa,Vũ Phương,Vũ Phương|Bolero
216,Không bao giờ ngăn cách,Trần Thiện Thanh,Bolero|Trần Thiện Thanh
217,Hứa Thật Nhiều Thất Hứa Thât Nhiều,Nguyễn Hoài Anh|Quang Huy,Pop
218,Nỗi Nhớ Nơi Con Tim Mồ Côi,Nguyễn Hoài Anh,Pop
219,Tàn tro,Khúc Lan,
220,Em muốn làm,Nguyễn Văn Chung,Nhạc thiếu nhi
221,Biết đến bao giờ (Đời là vạn ngày sầu),Lam Phương,Lam Phương|Bolero
222,Về quê ngoại,Minh Thùy,Ca cổ
223,Xa em kỷ niệm,Anh Tài,Bolero
224,Không Phải Tại Chúng Mình,Anh Bằng,
225,Người Mang Tâm Sự,Lý Bông Dừa,Ca cổ
226,Thư về em gái thành đô,Duy Khánh,Duy Khánh|Bolero
227,Tình đơn phương,Nhật Hoàng,Nhật Hoàng|Nhạc trẻ
228,Tình đời (Duyên kiếp cầm ca),Anh Bằng,Bolero
229,Lạc mất mùa xuân,Khúc Lan,
230,Vẫy tay chào,Vinh Sử,
231,Cám ơn,Trịnh Lâm Ngân,
232,Kiếp nghèo,Lam Phương,Lam Phương|Bolero
233,Chỉ hai đứa mình thôi nhé,Anh Bằng,
234,Một Trời La Vang (Hợp xướng),Thế Thông,Nhạc thánh ca|Thế Thông
235,Bao la tình Chúa,Nguyên Minh,Thánh ca
236,Tình đầu chưa nguôi,Vũ Tuấn,Vũ Tuấn|Bolero
237,Khúc Thụy Du,Anh Bằng,Bolero
238,Câu hẹn câu thề,Đình Dũng,Đình Dũng|Ballad
239,Tình chỉ đẹp,Vinh Sử,Bolero
240,Hoa Son Vàng,N2L,N2L
241,Hai mươi năm tình đẹp mùa chôm chôm,Giao Tiên,
242,Tuổi học trò,Anh Bằng,
243,Về quê,Minh Thùy,Ca cổ
244,Còn Em Anh Bỏ Cho Ai,Đông Thiên Đức,Đông Thiên Đức|Ballad|pop
245,Câu chuyện đầu năm,Đăng Minh,Ca cổ
246,Luân Đạo Vô Hồi,Jin Tuấn Nam,Pop
247,Kiệu Hoa,BÌN,BÌN|pop
248,Cô Đơn Sẽ Tốt Hơn,Đông Thiên Đức,Đông Thiên Đức|Ballad|pop
249,Anh về kẻo mưa,Ngân Giang,Nhạc trữ tình|Ngân Giang
250,Tan như bọt bèo,Anh Bằng,Bolero
251,Cô Đơn Dành Cho Ai,Nal,Nhạc trẻ
252,Người Ta Nói,Nguyễn Hoài Anh,"Pop, Ballad"
253,Thay Thế,Đông Thiên Đức,Ballad|Đông Thiên Đức|pop
254,Sầu lẻ bóng 1,Anh Bằng,Bolero
255,Ngày buồn,Lam Phương,Lam Phương|Bolero
256,Yêu một mình,Trịnh Lâm Ngân,Bolero
257,Body Shaming,Bùi Công Nam,Nhạc trẻ
258,Tình Yêu Thiên Chúa,Vĩnh Phúc,Nhạc thánh ca
259,Pháp Ta Bà,Jin Tuấn Nam,Pop
260,Tình ca quê hương,Duy Khánh,Bolero|Duy Khánh
261,Phố Hoa Lệ,Đông Thiên Đức,Ballad|Đông Thiên Đức|pop
262,Bông điên điển,Hà Phương,
263,Người tình đầu non,Hàn Châu,Bolero|Hàn Châu
264,Em nào có tội,Khánh Cường,Ballad|Khánh Cường
265,Ngày Ấy Tháng Ấy Năm Ấy,Đông Thiên Đức,Đông Thiên Đức|pop|Ballad
266,Bậu Ơi Đừng Khóc,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
267,Chưa Bao Giờ Em Quên,Sinike,pop
268,Pháo Hồng,Đạt Long Vinh,Nhạc trẻ
269,Nếu em là giai nhân,Giao Tiên,
270,Tiễn Đưa,Lê Đức Long|Đặng Hiển|Trúc Sinh AM,Le Duc Long|Bolero|Truc Sinh AM|Dang Hien
271,Vách Ngọc Ngà,Nguyễn Văn Dĩ Khang (Anh Rồng),Pop
272,Bao Giờ Biết Tương Tư,Ngọc Chánh,Bolero
273,Nhật ký hai đứa mình,Anh Bằng,
274,Em Là Cố Chấp Duy Nhất Của Đời Tôi,Thiên Tú,pop|Thiên Tú|Ballad
275,Cho đến cuối cuộc đời,Trúc Hồ,Trúc Hồ|Nhạc trữ tình
276,Tâm Sự Đời Tôi,Lý Bông Dừa,Ca cổ
277,Vòng nhẫn cưới,Vinh Sử,
278,Lay mẹ con đi,Anh Bằng,Bolero
279,Có Ai Đâu Ngờ,H-Kray|Huỳnh Chương,pop|H-Kray|Huỳnh Chương
280,Đánh Mất Em,Trần Đăng Quang,Trần Đăng Quang|Nhạc ngoại (Trung Quốc)|Lời Việt
281,Đây thôn Vĩ Dạ,Vinh Sử,Bolero
282,Đêm Mưa Nhớ Mẹ,Lý Bông Dừa,Ca cổ
283,Tiền Thắng Tình Thua,Lý Bông Dừa,Ca cổ
284,Tình ta biển bạc đồng xanh,Hoàng Sông Hương,
285,Lính trận miền xa,Bằng Giang,
286,Cho con thấy Chúa,Sr. Hiền Hòa,Sr. Hiền Hòa|Nhạc thánh ca
287,Dang Dở,Nal,Nhạc trẻ
288,Một mai giã từ vũ khí,Trịnh Lâm Ngân,
289,Mưa qua phố vắng,Hà Phương,
290,Xin hãy rời xa,Vũ Tuấn Đức,"Bolero, ĐQ Asia"
291,Lính xa nhà,Trịnh Lâm Ngân,
292,Đừng Ví Em Là Biển,Trần Thanh Tùng,
293,Anh không chết đâu em,Trần Thiện Thanh,Bolero|Trần Thiện Thanh
294,Em là nhất miền Tây,Jin Tuấn Nam,pop|Jin Tuấn Nam
295,Cõi nhớ,Sông Trà,Sông Trà|Nhạc trữ tình
296,Phận gái thuyền quyên,Giao Tiên,
297,Kẻ Viết Ngôn Tình,Đông Thiên Đức,"Pop, Ballad"
298,Hạnh phúc nơi nào,Trịnh Lâm Ngân,Bolero
299,Tuyết trắng,Trần Thiện Thanh,Bolero|Trần Thiện Thanh
300,Mất nhau rồi (Thà trắng thà đen),Giao Tiên,
301,Kẻ Thật Lòng Phía Sau,Zuong Zero,Pop
302,Huế xưa,Anh Bằng,Bolero
303,Một Cuộc Tình Dối Trá,One Music,"Ballad, pop"
304,Già Cùng Nhau Là Được,TaynguyenSound,TaynguyenSound|Nhạc trẻ
305,Mưa chiều,Anh Bằng,Bolero
306,Đêm buồn tỉnh lẻ (Tỉnh lẻ đêm buồn),Bằng Giang|Tú Nhi,Bằng Giang|Tú Nhi|Bolero
307,Gục ngã vì yêu,Phạm Minh Hùng,Phạm Minh Hùng|Bolero
308,Đắp Mộ Cuộc Tình,Lý Bông Dừa,Ca cổ
309,Đêm lang thang,Vinh Sử,Bolero
310,Hận tình,Anh Bằng,
311,Chuyện giàn thiên lý,Anh Bằng,
312,Gặp nhau làm ngơ,Trần Thiện Thanh,Bolero|Trần Thiện Thanh
313,Sương Trắng Miền Quê Ngoại,Lý Bông Dừa,Ca cổ
314,Giọt buồn không tên - Anh Bằng,Anh Bằng,Bolero
315,Nén hương yêu,Duy Khánh|Châu Kỳ,Bolero|Duy Khánh|Châu Kỳ
316,Người tình và quê hương,Trịnh Lâm Ngân,
317,Duyên kiếp,Lam Phương,Bolero|Lam Phương
318,Bạc màu áo trận,Vinh Sử,
319,Chờ Trông Ai,Hồ Phi Nal,Nhạc trẻ
320,Từ lúc em đi,Lam Phương,Lam Phương|Bolero
321,Cô Thắm Không Về,Sinike,pop|Sinike
322,Như một cơn mê,Tuấn Hải,
323,Ngẫu Hứng Lý Qua Cầu,Tamke,Nhạc trẻ|Tamke
324,Chiều nước lũ,Vinh Sử,
325,Mưa lệ,Lam Phương,Lam Phương|Bolero
326,Bông Hoa Chẳng Tồn Tại,N2L|Phạm Sắc Lệnh,"Pop, Ballad"
327,Dù anh nghèo,Vinh Sử,
328,Cơn mê tình ái,Tuấn Hải,
329,Tình theo bến đỗ,Vũ Tuấn,Vũ Tuấn|Bolero
330,Tình,Vũ Tuấn,Bolero|Vũ Tuấn
331,Chuyến xe lam chiều,Vinh Sử,
332,Sẽ hơn bao giờ hết,Trúc Hồ,Nhạc trữ tình|Trúc Hồ
333,Kẹo Bông Gòn,H2K,Nhạc trẻ|H2K
334,Ta Là Của Nhau,Đỗ Hiếu,Nhạc trẻ
335,Thương Thầm,NB3 Hoài Bảo,Nhạc trẻ
336,Chiếc lá cuối cùng,Trần Trịnh,Bolero
337,Tình như mây khói,Lam Phương,Bolero|Lam Phương
338,Mẹ ơi có biết,Nguyễn Văn Chung,Nhạc thiếu nhi
339,Chiều hoang,Lam Phương,Bolero|Lam Phương
340,Chuyện tình ong bướm,Vinh Sử,
341,Đom đóm,Phượng Linh,Trữ tình
342,Một Lần Dang Dở,Trịnh Lâm Ngân,
343,999 Đóa Hồng,Johnny Dũng,Nhạc trữ tình
344,Ca dao em và tôi,An Thuyên,Dân ca
345,Đò sang ngang,Lý Bông Dừa,Ca cổ
346,Trường cũ tình xưa,Duy Khánh,Bolero|Duy Khánh
347,Anh không tha thứ,Đình Dũng,Đình Dũng|Ballad
348,Trăm nhớ ngàn thương,Lam Phương,Lam Phương|Bolero
349,Em Có Biết,H2K,Nhạc trẻ|H2K
350,Tự Ta Đa Tình Tự Ta Đau,Đông Thiên Đức,Ballad
351,À Thì,Tika,Pop
352,Nếu Một Ngày,Reddy,Nhạc trẻ
353,Muốn Anh Là Của Em,Sinike,Sinike|pop
354,Chiều qua phà Hậu Giang,Trịnh Lâm Ngân,
355,Rồi Tới Luôn,Nal,Nhạc trẻ
356,Lụy Tình,Lâm Triệu Minh,Lâm Triệu Minh
357,Tình chết theo mùa đông,Lam Phương,Lam Phương|Bolero
358,Em,Nguyễn Quốc Cường,Nhạc trẻ
359,Ngày Mai Tôi Sẽ Viết Sách,Đông Thiên Đức,Pop
360,Những tâm hồn cô đơn,Anh Bằng,Bolero
361,Nỗi lòng người đi ( Tôi xa Hà Nội),Anh Bằng,Bolero
362,Sai lầm của anh,Đình Dũng,Đình Dũng|Ballad
363,Chiều mưa biên giới,Nguyễn Văn Đông,Trữ tình
364,Đời Lan và Điệp (Lan và Điệp 4),Anh Bằng,Bolero
365,Lời Cuối Cho Em,Đỗ Kim Bảng,Nhạc vàng
366,Phải lòng con gái bến tre,Phan Ni Tấn,Nhạc trữ tình
367,Tình Ca Sĩ,Vũ Xuân Hùng,Lời Việt|Nhạc ngoại|Vũ Xuân Hùng
368,Hương Hoa Phai Tàn,H2K,Nhạc trẻ|H2K
369,Yêu lầm,Giao Tiên,
370,Trăm nhớ ngàn thương,Lam Phương,Bolero|Lam Phương
371,Con heo đất,Ngọc Lễ,Nhạc thiếu nhi
372,Đứng Sau Một Cuộc Tình,Lâm Triệu Minh,Lâm Triệu Minh
373,Nhớ người yêu ( Ck2 – Thương nhớ người yêu),Giao Tiên,Bolero
374,Hoa sứ nhà nàng 1,Hoàng Phương,
375,Bất quá nhân gian,Nguyễn Duy Tùng,Nhạc Hoa
376,Lần đầu cũng là lần cuối (Lần đầu lần cuối),Anh Bằng,
377,Mùa xuân của mẹ,Trịnh Lâm Ngân,
378,Ngàn Thu Áo Tím,Vĩnh Phúc,Nhạc tình ca
379,16 trăng tròn,Trần Thiện Thanh,Bolero|Trần Thiện Thanh
380,Hoa Tàn Tình Tan,AZ Entertainment,pop|AZ Entertainment
381,Trái tim lầm lỡ,Khúc Lan,
382,Chung một dòng sông,Hoàng Phương,Nhạc trữ tình
383,Tôi vẫn cô đơn,Anh Bằng,Bolero
384,Là Anh Ngộ Nhận,Lê Công Nguyên Khải,Pop
385,Phận nghèo,Nhật Thu,Nhạc trữ tình|Nhật Thu
386,Ngày em đi,Lam Phương,Lam Phương|Bolero
387,Xin Em Đừng Khóc Vu Quy,Lý Bông Dừa,Ca cổ
388,Tìm về tuổi dại,Hàn Châu,Bolero|Hàn Châu
389,Lời trần tình,Sr. Hiền Hòa,Hàn Châu
390,Áo đẹp nàng dâu,Anh Bằng,
391,Buồn chi em ơi,Lam Phương,Lam Phương|Bolero
392,Người không cô đơn,Vinh Sử,
393,Một đời yêu em (một đời yêu anh),Trần Thiện Thanh,Trần Thiện Thanh|Bolero
394,Xin người đừng yêu tôi,Ngân Giang,Ngân Giang|Nhạc trữ tình
395,Vùng Lá Me Bay,Lý Bông Dừa,Ca cổ
396,Em ơi lên phố,Nguyễn Đình Vũ,Ballad|Nguyễn Đình Vũ
397,Ai ra xứ Huế,Duy Khánh,Duy Khánh|Bolero
398,Chỉ có em,Lam Phương,Lam Phương|Bolero
399,Gặp Được Nhau,Hoàng Văn Minh,Nhạc trữ tình
400,Bốn ngả đường quê hương,Anh Bằng,
401,Chín bậc tình yêu,An Thuyên,Dân ca
402,Cafe Không Đường,Nguyễn Cường Thịnh (Jombie),Pop
403,Mai anh đi rồi,Bằng Giang,
404,Dẫu Chỉ Là Ký Ức,Đông Thiên Đức,Ballad|Đông Thiên Đức|pop
405,Thương Em Dữ Chưa,Nguyễn Phi Hải,"Pop, Ballad "
406,Khi người yêu tôi khóc,Trần Thiện Thanh,Trần Thiện Thanh|Bolero
407,Tâm hồn cô đơn,Anh Bằng,Bolero
408,Sầu lẻ bóng 3,Anh Bằng,Bolero
409,Cháy Nhà Ra Mặt Chuột,Lộn Xộn Band,Nhạc trẻ|Lộn Xộn Band
410,Như giấc chiêm bao,Lam Phương,Lam Phương|Bolero
411,Cuối trời đợi mong,Giao Tiên,Bolero
412,Lời quê,Nguyễn Ngọc Thịnh,
413,Thà Rằng Như Thế,Nguyễn Hoài Anh,"Pop, Ballad"
414,Đêm trên đỉnh sầu,Ngân Giang,Ngân Giang|Nhạc trữ tình
415,Chuyện tình Lan và Điệp 1,Anh Bằng,
416,Thương về miền đất lạnh,Anh Bằng,
417,Thương Thì Về Đây,Trường Lê,Trường Lê|pop
